outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
ISOLATION,practice_cesi,Between states,-0.20710078981198607,0.10666732764460954,0.059652637323307056,2116,38,1,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,meaning_cesi,Within state,0.006641152742596779,0.015203837148917406,0.6623133193681401,1540,39,1,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
ISOLATION,meaning_cesi,Between states,-0.2018126486347667,0.12113870611541815,0.1037826735327571,1540,39,1,CDC PLACES 2024,Social Isolation,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHR_ALCOHOL_DRIVING_DEATHS,practice_cesi,Within state,0.031991510180050683,0.022874867859670585,0.1620987210928778,2108,38,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_ALCOHOL_DRIVING_DEATHS,practice_cesi,Between states,-0.19561244021542543,0.05920250861465299,0.001954992868210751,2108,38,0.0840646933330623,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_ALCOHOL_DRIVING_DEATHS,meaning_cesi,Within state,0.035889937179948976,0.026425470661339562,0.17461316827848045,1540,39,1,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_ALCOHOL_DRIVING_DEATHS,meaning_cesi,Between states,-0.18875304663391,0.07705625580885375,0.01899750666252168,1540,39,0.5509276932131287,County Health Rankings & Roadmaps 2025,Alcohol-Impaired Driving Deaths,Proportion of driving deaths involving alcohol impairment,Worse health / greater alcohol-related mortality burden
CHR_CHILD_MORTALITY,practice_cesi,Within state,-0.09803216819583702,0.01996184070723989,1.0040595973060842e-6,1548,38,3.413802630840686e-5,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_CHILD_MORTALITY,practice_cesi,Between states,-8.07587192393792e-4,0.053617722129787423,0.9880601353164438,1548,38,1,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_CHILD_MORTALITY,meaning_cesi,Within state,0.1850691347702065,0.021063624231815285,4.490130028878711e-18,1387,39,1.8409533118402714e-16,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_CHILD_MORTALITY,meaning_cesi,Between states,0.29819798019720667,0.04446608773476283,1.6379150244121812e-7,1387,39,6.879243102531161e-6,County Health Rankings & Roadmaps 2025,Child Mortality,"Deaths under age 20 per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,practice_cesi,Within state,-0.1472129306055677,0.018510473636577523,3.32671980081822e-15,1707,38,1.2974207223191058e-13,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,practice_cesi,Between states,-0.04719182496290582,0.0797023495217059,0.5575853761701728,1707,38,1,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,meaning_cesi,Within state,0.13210788566461348,0.020908243601177105,3.5256183013665226e-10,1442,39,1.1987102224646177e-8,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_FIREARM_FATALITIES,meaning_cesi,Between states,0.2087448889017587,0.09765226346380715,0.03991040749239479,1442,39,1,County Health Rankings & Roadmaps 2025,Firearm Fatalities,"Deaths per 100,000",Worse health / higher mortality
CHR_HOMICIDES,practice_cesi,Within state,-0.20412339376158214,0.02121358833757901,4.7016052230818765e-21,1064,38,1.974674193694388e-19,County Health Rankings & Roadmaps 2025,Homicide Mortality,"Deaths per 100,000",Worse health / higher mortality
CHR_HOMICIDES,practice_cesi,Between states,-0.08138129173336273,0.060002118555201295,0.1823325437880379,1064,38,1,County Health Rankings & Roadmaps 2025,Homicide Mortality,"Deaths per 100,000",Worse health / higher mortality
CHR_HOMICIDES,meaning_cesi,Within state,0.1961484612675471,0.024385804308438615,2.414466213638349e-15,1018,39,9.174971611825727e-14,County Health Rankings & Roadmaps 2025,Homicide Mortality,"Deaths per 100,000",Worse health / higher mortality
